Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/db/,4305,0,16,28.24282458920219,10.154208983294666,515.0199160270859,2.0,15.220082718703567,0.0,16,20,30,47,57,63,92,160,420,520,520
,Aggregated,4305,0,16,28.24282458920219,10.154208983294666,515.0199160270859,2.0,15.220082718703567,0.0,16,20,30,47,57,63,92,160,420,520,520
