Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/db/,14595,1,1000.0,1540.4029263976747,8.909042022423819,14247.187166998629,1.9998629667694416,43.18995662673604,0.0029592296421196325,1000,1700,2200,2500,3700,5200,6900,8100,12000,13000,14000
,Aggregated,14595,1,1000.0,1540.4029263976747,8.909042022423819,14247.187166998629,1.9998629667694416,43.18995662673604,0.0029592296421196325,1000,1700,2200,2500,3700,5200,6900,8100,12000,13000,14000
