Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/db/,10382,0,27,42.27556027145211,9.82750000548549,2087.5220829911996,2.0,32.65245201311868,0.0,27,44,54,57,65,82,130,230,1800,2100,2100
,Aggregated,10382,0,27,42.27556027145211,9.82750000548549,2087.5220829911996,2.0,32.65245201311868,0.0,27,44,54,57,65,82,130,230,1800,2100,2100
